TimeStep,T_avancement,T_affichage,T_total
676,0.0727338,0.0276035,0.100338
677,0.0731053,0.0280347,0.10114
678,0.0738806,0.0278778,0.101758
679,0.07458,0.0288369,0.103417
680,0.0905488,0.0364491,0.126998
681,0.071867,0.0279972,0.0998643
682,0.0744674,0.0278311,0.102299
683,0.0746064,0.0279161,0.102523
684,0.0953504,0.028667,0.124018
685,0.0738621,0.0281238,0.101986
686,0.0749918,0.0283514,0.103343
687,0.0759215,0.0279116,0.103833
688,0.0750624,0.0285632,0.103626
689,0.0816063,0.0327818,0.114388
690,0.0752847,0.0285001,0.103785
691,0.0747695,0.0278931,0.102663
692,0.0755686,0.0283787,0.103947
693,0.0766186,0.0303358,0.106955
694,0.0787881,0.0284938,0.107283
695,0.0775007,0.0281191,0.10562
696,0.0771768,0.0282896,0.105467
697,0.0757762,0.0279656,0.103742
698,0.0840131,0.0299829,0.113996
699,0.0800236,0.0282144,0.108238
700,0.077502,0.0281628,0.105665
701,0.076885,0.0281061,0.104991
702,0.0769623,0.0282024,0.105165
703,0.0839587,0.0294754,0.113434
704,0.0783246,0.0383987,0.116755
705,0.10176,0.0358006,0.137561
706,0.078924,0.0281259,0.10705
707,0.0876824,0.0284574,0.11614
708,0.0774912,0.0282041,0.105695
709,0.0780779,0.0282257,0.106304
710,0.0851551,0.0299385,0.115094
711,0.0790659,0.0283442,0.10741
712,0.0837639,0.0279975,0.111762
713,0.0787891,0.0281349,0.106924
714,0.0788785,0.0283377,0.107217
715,0.0789669,0.028272,0.107239
716,0.0803653,0.0328509,0.113216
717,0.0798274,0.0285082,0.108336
718,0.078562,0.0285597,0.107122
719,0.0786207,0.0284895,0.10711
720,0.0803822,0.0286869,0.109069
721,0.0859002,0.0286945,0.114595
722,0.0791483,0.0285683,0.107717
723,0.0797668,0.0284788,0.108246
724,0.07961,0.028502,0.108112
725,0.0793501,0.0344858,0.113836
726,0.0934627,0.0286979,0.122161
727,0.0803383,0.0280409,0.108379
728,0.0791459,0.0285467,0.107693
729,0.0803585,0.0285452,0.108904
730,0.0975424,0.0347417,0.132284
731,0.0812822,0.0284751,0.109757
732,0.0810509,0.0286775,0.109729
733,0.0815731,0.0289272,0.110501
734,0.0932128,0.0290158,0.122229
735,0.080797,0.0287054,0.109503
736,0.0817964,0.0377601,0.119585
737,0.0845903,0.0288504,0.113441
738,0.0825149,0.0336467,0.116162
739,0.0855955,0.0287413,0.114337
740,0.0820014,0.0283404,0.110342
741,0.0817726,0.0288836,0.110656
742,0.0830329,0.028689,0.111722
743,0.088252,0.0329367,0.121189
744,0.0830417,0.0286743,0.111716
745,0.0824011,0.0285567,0.110958
746,0.0818837,0.0287513,0.110635
747,0.0841025,0.0337943,0.117897
748,0.0841977,0.0288728,0.113071
749,0.0826305,0.0284402,0.111071
750,0.0815972,0.0285617,0.110159
751,0.0830651,0.0283542,0.11142
752,0.0924911,0.0313244,0.123816
753,0.0829904,0.0288588,0.111849
754,0.0978692,0.0364929,0.134362
755,0.0853944,0.0428241,0.128219
756,0.119687,0.0388868,0.158574
757,0.122943,0.03999,0.162934
758,0.12584,0.0397223,0.165562
759,0.135713,0.0400435,0.175757
760,0.136175,0.0303726,0.166548
761,0.0859486,0.0286734,0.114622
762,0.0916676,0.0309714,0.122639
763,0.0852297,0.0286851,0.113915
764,0.0855926,0.028785,0.114378
765,0.084441,0.0293476,0.113789
766,0.083696,0.0297924,0.113488
767,0.091982,0.0288325,0.120815
768,0.0834384,0.038004,0.121475
769,0.0858941,0.0286625,0.114557
770,0.0843994,0.0290191,0.113419
771,0.0909001,0.0315985,0.122499
772,0.085328,0.0285272,0.113855
773,0.0832622,0.028572,0.111834
774,0.0841738,0.0290969,0.113271
775,0.0909076,0.0290039,0.119912
776,0.087045,0.0290491,0.116094
777,0.0846367,0.0290814,0.113718
778,0.0852061,0.029412,0.114618
779,0.0848088,0.032831,0.11764
780,0.0868677,0.02898,0.115848
781,0.0852986,0.0289743,0.114273
782,0.0862853,0.0285573,0.114843
783,0.0857137,0.0292535,0.114967
784,0.093777,0.0367956,0.130573
785,0.0844139,0.0289619,0.113376
786,0.0853896,0.0296309,0.115021
787,0.0857549,0.0289484,0.114704
788,0.0920187,0.0292433,0.121262
789,0.0854611,0.0289908,0.114452
790,0.0849814,0.0289674,0.113949
791,0.0861691,0.0291181,0.115288
792,0.0878295,0.0331545,0.120984
793,0.0878205,0.029551,0.117372
794,0.0873201,0.0289556,0.116276
795,0.0906774,0.0314281,0.122106
796,0.0864983,0.0331433,0.119642
797,0.0903239,0.0292487,0.119573
798,0.0870853,0.02902,0.116106
799,0.0868003,0.0293392,0.11614
800,0.0871861,0.0389459,0.126165
801,0.100826,0.0293633,0.130189
802,0.0892473,0.0295255,0.118773
803,0.0868821,0.0291225,0.116005
804,0.0876585,0.0293682,0.117027
805,0.0917249,0.033092,0.124817
806,0.0881079,0.0286222,0.11673
807,0.0886725,0.0289711,0.117644
808,0.0890527,0.0293543,0.118407
809,0.0940544,0.0291539,0.123208
810,0.0909429,0.0294369,0.12038
811,0.0883707,0.0296823,0.118053
812,0.0879732,0.0326236,0.120597
813,0.118022,0.0518468,0.169869
814,0.136112,0.0419804,0.178092
815,0.145171,0.0459929,0.191164
816,0.13571,0.0386247,0.174335
817,0.129831,0.0375273,0.167359
818,0.0903545,0.0292068,0.119561
819,0.0957443,0.0295142,0.125259
820,0.0883179,0.0291233,0.117441
821,0.0926139,0.0301082,0.122722
822,0.0890321,0.0293466,0.118379
823,0.0932372,0.0320133,0.125251
824,0.0917392,0.0294401,0.121179
825,0.0885438,0.029018,0.117562
826,0.0886702,0.0299662,0.118636
827,0.0878324,0.0353315,0.123164
828,0.0892878,0.0298925,0.11918
829,0.0883415,0.0294809,0.117822
830,0.0875275,0.0290702,0.116598
831,0.0879753,0.0295598,0.117535
832,0.101775,0.0392161,0.14103
833,0.124228,0.0301181,0.154346
834,0.0941727,0.0295105,0.123683
835,0.0915574,0.0329585,0.124516
836,0.0951364,0.0404942,0.135631
837,0.127309,0.0413449,0.168655
838,0.13531,0.0445546,0.179865
839,0.138051,0.0399403,0.177992
840,0.132607,0.0436247,0.176232
841,0.13516,0.0392438,0.174404
842,0.135464,0.0397621,0.175226
843,0.123393,0.0375,0.160893
844,0.128315,0.0408741,0.169189
845,0.125753,0.0369321,0.162685
846,0.0891101,0.0290149,0.118125
847,0.0863859,0.028939,0.115325
848,0.0916931,0.0308503,0.122543
849,0.0883852,0.0292251,0.11761
850,0.0863085,0.0295811,0.11589
851,0.0866342,0.029664,0.116298
852,0.0894409,0.0305919,0.120033
853,0.08648,0.0294743,0.115954
854,0.084675,0.0290077,0.113683
855,0.0845537,0.0287143,0.113268
856,0.0842307,0.0311508,0.115382
857,0.0875583,0.0297295,0.117288
858,0.0846911,0.0292154,0.113907
859,0.0867177,0.0289618,0.11568
860,0.0838951,0.0288787,0.112774
861,0.0907638,0.0302373,0.121001
862,0.0921728,0.031511,0.123684
863,0.0866703,0.0309383,0.117609
864,0.0874158,0.0433755,0.130833
865,0.119683,0.0315348,0.151218
866,0.118077,0.041077,0.159154
867,0.122938,0.0413022,0.164241
868,0.131254,0.0429289,0.174183
869,0.125686,0.042411,0.168097
870,0.12206,0.0441222,0.166183
871,0.128275,0.0407831,0.169058
872,0.126274,0.0370354,0.16331
873,0.0880931,0.0306389,0.118732
874,0.0878944,0.0355341,0.123429
875,0.0850353,0.0339587,0.118994
876,0.0852164,0.0303949,0.115612
877,0.0854928,0.0309867,0.11648
878,0.0859597,0.0311774,0.117137
879,0.0928729,0.035336,0.128209
880,0.0863422,0.0303245,0.116667
881,0.0868775,0.029763,0.116641
882,0.0843322,0.0303956,0.114728
883,0.0882853,0.0291937,0.117479
884,0.0834725,0.0288517,0.112324
885,0.081743,0.028628,0.110371
886,0.0803939,0.0291043,0.109498
887,0.0817241,0.0342992,0.116023
888,0.082181,0.0289898,0.111171
889,0.0806367,0.0286491,0.109286
890,0.080666,0.0287072,0.109373
891,0.081753,0.0298954,0.111648
892,0.0903869,0.0307633,0.12115
893,0.086996,0.029604,0.1166
